strategy_id,family,logic,conditions,risk,symbols_tested,avg_score,score_std,avg_total_return,avg_sharpe_ratio,avg_max_drawdown,avg_win_rate,total_trades,risk_rejections,qa_score
qa_007,mean_reversion,AND,volume_ratio_20 > 1.0 | rsi_14 < 35,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",13,0.10158981361502367,0.3915872596227753,0.007811839570202621,0.20655557030497035,-0.020157617042611573,0.44586167800453513,166,4,0.21747910678213828
qa_043,volume,OR,volume_spike >= True | obv > obv_ema20,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",5,0.4213635331921031,0.8463904580941337,0.22161434599120824,0.7708413183328344,-0.1527071488583831,0.4156001892843998,121,5,0.17167937075872228
qa_073,trend,OR,close > ema50 | close > sma50 | close > sma20,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",10,0.23385895485764596,0.7168660212013687,0.11222576220433854,0.4720190422578932,-0.17909147466301084,0.3597733110338152,227,5,0.12027383130511318
qa_119,mean_reversion,OR,volume_ratio_20 > 1.0 | close > kc_lower | bb_percent < 0.2,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",5,0.29259247225975094,0.6604843228785032,0.06224435791789107,0.61734526527417,-0.17376733876350706,0.3367845117845118,75,5,0.10060439068504735
qa_105,trend,OR,aroon_osc_14 > 0 | ema20 > ema50 | linreg_slope_14 > 0,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",12,0.20166228788417043,0.8719711646428934,0.0843894734515197,0.4057572614926701,-0.13266592448810277,0.4307539682539683,156,7,0.09003930668832183
qa_056,qa_broad,AND,roc_9 > 0 | dmp_14 > dmn_14 | aroon_osc_14 > 0,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",6,0.3032688487922262,0.8539614019747445,0.06988104205922945,0.61078290356698,-0.11543457804516301,0.3785198928056071,102,4,0.08398025578525864
qa_090,momentum,OR,stoch_k > 50 | rsi_14 > 50 | macd > macd_signal,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",11,0.1197761510690501,0.5848916259135248,0.03804171940118639,0.27568393202048186,-0.14739165380773386,0.3741518481518481,186,7,0.08347700316660955
qa_022,hybrid,OR,adx_14 > 20 | macd_hist > 0,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",13,0.07494427314850455,0.6369271892612013,0.028051971277056605,0.20197920260088922,-0.17230459767528536,0.38250661375661377,155,4,0.051713147720734265
qa_031,mean_reversion,AND,willr_14 < -80 | adx_14 < 25,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",5,0.10900884075265314,0.4713582415079419,0.015719168904833603,0.22324998829954915,-0.036659520342857486,0.43561507936507937,83,5,0.031202624104873372
qa_085,structure,AND,rsi_14 > 55 | breakdown_20_low <= False,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",4,0.37119606721378356,1.0255490927034283,0.2420623774692654,0.6339866865886185,-0.09207994660652637,0.39837684489000286,110,5,0.03002590345529943
qa_011,volume,OR,close > vwma20 | obv > obv_ema20 | breakout_20_high >= True,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",8,0.1935198110855971,0.8382968122968142,0.10586469323024743,0.37573643773802184,-0.13053907876244022,0.3161832611832612,228,5,0.014427249214858107
qa_080,qa_broad,OR,close > supertrend_10_3 | linreg_slope_14 > 0,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",4,0.3215202088832333,0.8193095128242139,0.22958191935082792,0.5965885029364332,-0.22824309195115836,0.3605769230769231,117,5,0.004876797211853023
qa_057,trend,AND,close crosses_above ema20 | adx_14 > 25 | aroon_up_14 > 60 | close > sma50,"{'stop_loss': 0.08, 'take_profit': 0.18, 'max_holding_bars': 75}",6,0.0016269073043505432,0.3988686173448088,0.0017870310400324902,0.0027750443054214515,-0.0014836208018497905,0.2777777777777778,7,70,-0.018496376046979957
qa_093,structure,OR,close > supertrend_10_3 | close > ema50,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",7,0.17465653391079883,0.8302841734978367,0.1012667865553192,0.34678629438574704,-0.145583246243352,0.3990270146520146,117,6,-0.02689706299861716
qa_088,qa_broad,OR,cmo_9 > 0 | mom_10 > 0 | linreg_slope_14 > 0,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",6,0.16448014455902615,0.731780126742288,0.04311284320089007,0.3673685330162033,-0.1606898745467126,0.3966214097793046,146,4,-0.027884355892124013
qa_041,trend,OR,close > ema200 | dmp_14 > dmn_14,"{'stop_loss': 0.03, 'take_profit': 0.08, 'max_holding_bars': 30}",2,0.08862618750980487,0.10738397193251663,0.015817352946259577,0.216203688594938,-0.12110431335770994,0.3207070707070707,29,6,-0.04134471234177441
qa_037,structure,AND,aroon_up_14 > aroon_down_14 | close > ema50,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}",9,0.0892875680462081,0.7346167407937074,0.039012196912267115,0.22468887176469107,-0.1738026345490877,0.3474525474525475,152,4,-0.048659213323770156
qa_109,structure,AND,dmp_14 > dmn_14 | rsi_14 > 55,"{'stop_loss': 0.05, 'take_profit': 0.12, 'max_holding_bars': 45}",7,0.1759045126975039,0.941628133599754,0.15046030009787384,0.30953212655640794,-0.11999820305031114,0.368299991525798,154,4,-0.05566470513001884
qa_089,trend,AND,close crosses_above ema20 | aroon_up_14 > 60 | ema50 > ema200,"{'stop_loss': 0.05, 'take_profit': 0.15, 'max_holding_bars': 60}",9,-0.05342006450452803,0.5605777976136597,-0.002838237079809576,-0.10075778292800826,-0.010948509582905053,0.31979166666666664,51,45,-0.07345427202332566
qa_064,qa_broad,AND,dmp_14 > dmn_14 | roc_9 > 0,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 90}",5,0.187184535090242,1.0284023232826434,0.06679930764854575,0.3853080427021,-0.12754639277685872,0.4830357142857143,59,4,-0.11739751553058372
