hypothesis,symbol,signal_date,entry_date,exit_date,hold,entry_price,exit_price,pnl_pct,holding_bars,rank
leader_pullback_market_healthy,BID,2026-01-20,2026-01-21,2026-02-25,20,52.6,48.5,-7.794676806083652,20,2.4999999999999996
leader_pullback_market_healthy,BID,2026-01-20,2026-01-21,2026-03-11,30,52.6,41.7,-20.72243346007604,30,2.4999999999999996
leader_pullback_market_healthy,BID,2026-01-20,2026-01-21,2026-04-22,60,52.6,40.25,-23.479087452471486,60,2.4999999999999996
leader_pullback_market_healthy,VNM,2026-01-20,2026-01-21,2026-02-04,10,73.0,72.0,-1.36986301369863,10,2.1666666666666665
leader_pullback_market_healthy,VNM,2026-01-20,2026-01-21,2026-02-25,20,73.0,72.3,-0.958904109589045,20,2.1666666666666665
leader_pullback_market_healthy,VNM,2026-01-20,2026-01-21,2026-03-11,30,73.0,63.0,-13.698630136986301,30,2.1666666666666665
leader_pullback_market_healthy,VNM,2026-01-20,2026-01-21,2026-04-22,60,73.0,61.8,-15.34246575342466,60,2.1666666666666665
leader_pullback_market_healthy,STB,2026-01-21,2026-01-22,2026-02-05,10,63.0,62.3,-1.1111111111111156,10,4.0
leader_pullback_market_healthy,STB,2026-01-21,2026-01-22,2026-02-26,20,63.0,67.0,6.349206349206349,20,4.0
leader_pullback_market_healthy,STB,2026-01-21,2026-01-22,2026-03-12,30,63.0,65.7,4.28571428571429,30,4.0
leader_pullback_market_healthy,STB,2026-01-21,2026-01-22,2026-04-23,60,63.0,65.4,3.8095238095238186,60,4.0
