strategy,symbol,signal_date,entry_date,exit_date,entry_price,exit_price,pnl_pct,holding_bars,state,score
SMT_SCORE_RS_QUALITY,VPB,2022-01-26,2022-01-27,2022-03-03,21.09,22.0,4.314841156946421,20,NEUTRAL,79.63775510204081
SMT_SCORE_RS_QUALITY,ACB,2022-02-08,2022-02-09,2022-03-09,16.84,15.33,-8.966745843230402,20,HOT_AND_EXHAUSTED,72.14285714285714
SMT_SCORE_RS_QUALITY,SHB,2022-02-08,2022-02-09,2022-03-09,12.4,11.22,-9.516129032258062,20,NEUTRAL,73.12755102040816
SMT_SCORE_RS_QUALITY,TCB,2022-02-08,2022-02-09,2022-03-09,25.51,23.2,-9.055272442179545,20,NEUTRAL,76.41836734693878
SMT_SCORE_RS_QUALITY,SAB,2022-02-11,2022-02-14,2022-03-14,61.43,61.52,0.14650822073905814,20,NEUTRAL,81.85714285714286
SMT_SCORE_RS_QUALITY,MSN,2022-02-15,2022-02-16,2022-03-16,132.36,116.22,-12.194016319129656,20,HOT_BUT_STRONG,86.40721649484536
SMT_SCORE_RS_QUALITY,BVH,2022-02-16,2022-02-17,2022-03-17,50.65,49.33,-2.6061204343534063,20,NEUTRAL,77.3221649484536
SMT_SCORE_RS_QUALITY,VJC,2022-02-24,2022-02-25,2022-03-25,148.1,143.0,-3.443619176232272,20,HOT_BUT_STRONG,81.72448979591837
SMT_SCORE_RS_QUALITY,HPG,2022-02-28,2022-03-01,2022-03-29,27.35,26.29,-3.8756855575868454,20,NEUTRAL,70.38265306122449
SMT_SCORE_RS_QUALITY,GVR,2022-03-01,2022-03-02,2022-03-30,33.74,31.64,-6.224066390041497,20,NEUTRAL,73.61224489795919
SMT_SCORE_RS_QUALITY,FPT,2022-03-18,2022-03-21,2022-04-19,48.33,56.84,17.6081109042003,20,NEUTRAL,75.85714285714286
SMT_SCORE_RS_QUALITY,MWG,2022-03-28,2022-03-29,2022-04-27,70.02,70.84,1.171093973150539,20,NEUTRAL,78.36734693877551
