date,equity,cash,positions,gross_exposure,portfolio_run
2025-08-14,133025.11384950095,1878.1138495009654,7,0.9858815091740815,leader_pullback_market_healthy
2025-08-15,134132.11384950095,1878.1138495009654,7,0.9859980298856079,leader_pullback_market_healthy
2025-08-18,134992.07536650097,5885.075366500966,6,0.9564042900257433,leader_pullback_market_healthy
2025-08-19,140381.95766150096,466.9576615009664,7,0.996673663273546,leader_pullback_market_healthy
2025-08-20,146995.95766150096,466.9576615009664,7,0.9968233299137637,leader_pullback_market_healthy
2025-08-21,152537.50570050097,3112.5057005009876,7,0.9795951449041509,leader_pullback_market_healthy
2025-08-22,147943.658418501,544.6584185009883,8,0.996318474043948,leader_pullback_market_healthy
2025-08-25,144075.837772501,64737.83777250099,4,0.5506683232012608,leader_pullback_market_healthy
2025-08-26,146441.71802250098,69974.718022501,3,0.5221667775589107,leader_pullback_market_healthy
2025-08-27,144450.946276001,5384.946276001003,6,0.9627212807196706,leader_pullback_market_healthy
2025-08-28,145223.946276001,5384.946276001003,6,0.9629197083946005,leader_pullback_market_healthy
2025-08-29,146190.946276001,5384.946276001003,6,0.9631649810526947,leader_pullback_market_healthy
2025-09-03,144973.467276001,26332.467276001007,5,0.8183635407859208,leader_pullback_market_healthy
2025-09-04,146054.467276001,26332.467276001007,5,0.8197078955055842,leader_pullback_market_healthy
2025-09-05,142860.467276001,26332.467276001007,5,0.8156770184355643,leader_pullback_market_healthy
2025-09-08,139243.467276001,26332.467276001007,5,0.8108890291865098,leader_pullback_market_healthy
2025-09-09,139719.53608000098,104939.536080001,2,0.24892725080396472,leader_pullback_market_healthy
2025-09-10,139789.53608000098,104939.536080001,2,0.24930335257751687,leader_pullback_market_healthy
2025-09-11,140659.53608000098,104939.536080001,2,0.25394652218733343,leader_pullback_market_healthy
2025-09-12,140639.53608000098,104939.536080001,2,0.25384042777055604,leader_pullback_market_healthy
2025-09-15,140399.53608000098,104939.536080001,2,0.2525649371077306,leader_pullback_market_healthy
2025-09-16,137112.637130001,6892.637130001007,3,0.949730110409401,leader_pullback_market_healthy
2025-09-17,134257.151330001,21057.151330001005,2,0.843158065537656,leader_pullback_market_healthy
2025-09-18,134157.151330001,21057.151330001005,2,0.8430411564255383,leader_pullback_market_healthy
2025-09-19,133687.151330001,21057.151330001005,2,0.8424893408191313,leader_pullback_market_healthy
2025-09-22,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-09-23,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-09-24,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-09-25,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-09-26,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-09-29,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-09-30,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-10-01,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-10-02,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-10-03,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-10-06,133425.638980001,133425.638980001,0,0.0,leader_pullback_market_healthy
2025-10-07,131659.48727700103,47891.48727700102,5,0.6362473508935883,leader_pullback_market_healthy
2025-10-08,132113.54126900103,81798.54126900101,3,0.38084665293735376,leader_pullback_market_healthy
2025-10-09,131874.472909001,113359.47290900101,1,0.140398665424628,leader_pullback_market_healthy
2025-10-10,131894.472909001,113359.47290900101,1,0.14052901225654846,leader_pullback_market_healthy
2025-10-13,135998.62430400102,46048.62430400102,4,0.6614037491947903,leader_pullback_market_healthy
2025-10-14,136038.62430400102,46048.62430400102,4,0.661503308052442,leader_pullback_market_healthy
2025-10-15,135736.41821400102,114786.41821400102,1,0.154343250511962,leader_pullback_market_healthy
2025-10-16,136096.41821400102,114786.41821400102,1,0.15658016779318676,leader_pullback_market_healthy
2025-10-17,133110.90471900103,57710.904719001046,4,0.5664449517428376,leader_pullback_market_healthy
2025-10-20,130438.06686900105,94768.06686900105,2,0.2734631143822714,leader_pullback_market_healthy
2025-10-21,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-22,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-23,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-24,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-27,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-28,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-29,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-30,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-10-31,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-03,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-04,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-05,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-06,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-07,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-10,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-11,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-12,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-13,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-14,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-17,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-18,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-19,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-20,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-21,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-24,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-25,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-26,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-27,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-11-28,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-12-01,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-12-02,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-12-03,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-12-04,131336.45352900104,131336.45352900104,0,0.0,leader_pullback_market_healthy
2025-12-05,130155.75997900104,44105.75997900105,2,0.6611309404507573,leader_pullback_market_healthy
2025-12-08,129555.75997900104,44105.75997900105,2,0.6595615664934551,leader_pullback_market_healthy
2025-12-09,128355.75997900104,44105.75997900105,2,0.6563788022741112,leader_pullback_market_healthy
2025-12-10,127750.17722900104,86250.17722900104,1,0.32485277829093245,leader_pullback_market_healthy
2025-12-11,127400.17722900104,86250.17722900104,1,0.3229979808115426,leader_pullback_market_healthy
2025-12-12,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
2025-12-15,127297.34337900105,127297.34337900105,0,0.0,leader_pullback_market_healthy
